0.00035020,0.00047229,0.00064960,0.00090653,
0.00126686,0.00175277,0.00238380,0.00317584,0.00414032,
0.00528342,0.00660555,0.00810092,0.00975747,0.01155686,
0.01347481,0.01548160,0.01754283,0.01962032,0.02167317,
0.02365898,0.02553513,0.02726006,0.02879458,0.03010313,
0.03115489,0.03192478,0.03239430,0.03255209,0.03239430,
0.03192478,0.03115489,0.03010313,0.02879458,0.02726006,
0.02553513,0.02365899,0.02167317,0.01962032,0.01754284,
0.01548160,0.01347481,0.01155686,0.00975747,0.00810092,
0.00660555,0.00528342,0.00414032,0.00317584,0.00238380,
0.00175277,0.00126686,0.00090653,0.00064960,0.00047229,
0.00035020,
